,Unnamed: 0,Setor,Subsetor,Produto,Quantidade (Kg) - jan. /2020,Valor (US$) - jan. / 2020,Quantidade (Kg) - fev. / 2020,Valor (US$) - fev. / 2020,Quantidade (Kg) mar. / 2020,Valor (US$) mar. / 2020,Quantidade (Kg) abr. / 2020,Valor (US$) abr. / 2020,Quantidade (Kg) mai. / 2020,Valor (US$) mai. / 2020,Quantidade (Kg) jun. / 2020,Valor (US$) jun. / 2020,Quantidade (Kg) jul. / 2020,Valor (US$) jul. / 2020,Quantidade (Kg) ago. / 2020,Valor (US$) ago. / 2020,Quantidade (Kg) set. / 2020,Valor (US$) set. / 2020,Quantidade (Kg) out. / 2020,Valor (US$) out. / 2020,Quantidade (Kg) nov. / 2020,Valor (US$) nov. / 2020,Quantidade (Kg) dez. / 2020 ,Valor (US$) dez. / 2020
250,250,PESCADOS,CRUST�CEOS E MOLUSCOS,"CAMAR�ES, CONGELADOS",4.658,125.741,2.517,40.277,2.280,36.887,2.888,40.853,2.879,38.438,25.856,146.632,94.554,734.525,2.848,40.577,33.954,519.175,2.756,35.369,18.503,272.960,18.964,296.458
251,251,PESCADOS,CRUST�CEOS E MOLUSCOS,"CAMAR�ES, N�O CONGELADOS",40,629,36,496,70,845,20,241,111,1.133,29,413,37,320,30,365,20,245,,,,,10,117
252,252,PESCADOS,CRUST�CEOS E MOLUSCOS,"CARANGUEJOS, CONGELADOS",164,1.238,103,890,71,525,163,1.202,81,545,1.842,6.332,119,561,145,1.049,177,570,81,491,100,681,185,1.199
253,253,PESCADOS,CRUST�CEOS E MOLUSCOS,"CARANGUEJOS, N�O CONGELADOS",,,,,,,,,,,,,,,,,,,,,,,,
254,254,PESCADOS,CRUST�CEOS E MOLUSCOS,DEMAIS CRUST�CEOS E MOLUSCOS,2.175,19.715,3.465,28.119,2.895,22.538,3.616,27.802,3.442,27.354,5.722,34.533,5.365,46.284,22.702,112.476,4.733,28.961,3.556,26.452,3.379,25.938,3.720,28.167
255,255,PESCADOS,CRUST�CEOS E MOLUSCOS,"LAGOSTAS, CONGELADAS",125.460,3.107.557,33.609,951.346,65,1.037,21.312,893.204,283,4.457,89.921,2.845.734,434.971,11.630.848,488.839,14.103.646,391.502,11.055.978,482.501,12.881.630,216.530,6.205.538,316.285,10.165.336
256,256,PESCADOS,CRUST�CEOS E MOLUSCOS,"LAGOSTAS, N�O CONGELADAS",65,1.668,25,254,87,816,30,680,85,1.114,1.972,33.724,12.402,219.679,12.750,220.546,9.875,178.648,11.431,213.069,9.942,199.492,10.371,205.351
257,257,PESCADOS,CRUST�CEOS E MOLUSCOS,OUTRAS LAGOSTAS,,,,,17,202,6,89,,,,,,,,,17,167,17,160,,,17,175
258,258,PESCADOS,CRUST�CEOS E MOLUSCOS,OUTROS CAMAR�ES,54,440,30,297,264,2.494,486,4.096,205,2.385,257,2.805,325,3.242,194,2.307,408,4.686,336,3.264,422,4.221,296,3.198
259,259,PESCADOS,CRUST�CEOS E MOLUSCOS,POLVOS,707,6.755,63,890,145,1.879,374,5.061,2.895,26.357,270,3.206,349,3.745,178,1.837,377,4.556,206,2.574,214,2.299,163,1.955
260,260,PESCADOS,PEIXES,ATUM CONGELADO,152.659,303.778,134.413,270.261,214.811,461.959,202.892,413.791,405.132,855.586,175.980,344.521,368.962,722.152,280.272,541.099,104.986,203.349,77.774,141.762,141.092,272.640,64.949,138.991
